2025-05-22 10:57:14.216 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 11:34:42.575 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 14:04:03.866 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 15:28:15.141 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 15:48:13.470 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 16:31:14.865 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 17:36:12.229 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 18:10:29.058 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 19:13:56.487 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 19:31:14.054 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 20:22:26.181 UTC ERROR root: ConnectionError - Connection error: ('Connection aborted.', TimeoutError(60, 'Operation timed out'))
2025-05-22 21:13:20.955 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 21:40:42.821 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 22:44:10.828 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
2025-05-22 23:00:44.704 UTC ERROR root: ConnectionError - Connection error: HTTPSConnectionPool(host='api.binance.com', port=443): Read timed out. (read timeout=10)
